application_number,funding_year,state,form_version,window_status,status,category,application_name,address1,city,zipcode,entity_number,fcc_number,applicant_type,enrollment,nslp_count,nslp_percent,locale,request_amount,congress_district
201025848,2020,OH,Original,In Window,Certified,Category1,Allen East Local School Dist,9105 Harding Highway,Harrod,45850,130133,14288138,School District,1126,337,30.00%,Rural,"$19,080.00",Congressional District 4
201012359,2020,OH,Original,In Window,Certified,Category1,Western Buckeye Educational Service Center,202 North Cherry Street,Paulding,45879,227975,12035812,School District,151,88,58.00%,Rural,"$7,680.00",Congressional District 5
201026327,2020,OH,Original,In Window,Certified,Category1,North Ridgeville City Schools,34620 Bainbridge Road,North Ridgeville,44039,129423,13339304,School District,4617,712,15.00%,Urban,"$4,319.95",Congressional District 7
201024953,2020,OH,Original,In Window,Certified,Category1,Orange School District,32000 Chagrin Blvd,Cleveland,44124,129496,10803369,School District,2008,241,12.00%,Urban,"$15,936.00",Congressional District 14
201009537,2020,OH,Original,In Window,Certified,Category1,Norwood City School District,2132 Williams Ave,Cincinnati,45212,129874,14131817,School District,1716,1040,61.00%,Urban,"$48,493.25",Congressional District 2
201026234,2020,OH,Original,In Window,Certified,Category1,Conotton Valley School Dist,21 Mound Street,Sherrodsville,44675,129700,14089510,School District,397,160,40.00%,Rural,"$36,363.60",Congressional District 6
201023814,2020,OH,Original,In Window,Certified,Category1,Clark-Shawnee Sch Dist,3680 Selma Road,Springfield,45502,129991,11901071,School District,1908,724,38.00%,Rural,"$37,690.80",Congressional District 8
201021398,2020,OH,Original,In Window,Certified,Category1,Ridgewood Local School Dist,301 South Oak Street,West Lafayette,43845,129363,4855185,School District,1431,713,50.00%,Rural,"$34,704.00",Congressional District 7
201026739,2020,OH,Original,In Window,Certified,Category1,Stow-Munroe Falls City Sd,4350 Allen Rd,Stow,44224,129533,6004113,School District,5237,1218,23.00%,Urban,"$64,560.00",Congressional District 14
201024986,2020,OH,Original,In Window,Certified,Category1,Canal Winchester School Dist,100 Washington St,Canal Whchstr,43110,129124,2996254,School District,4217,1420,34.00%,Rural,"$46,870.80",Congressional District 15
201012177,2020,OH,Original,In Window,Certified,Category1,Auglaize Co Educ Svc Center,"1045 Dearbaugh Avenue, Ste 2",Wapakoneta,45895,130176,14324826,School District,149,85,57.00%,Rural,"$24,652.80",Congressional District 4
201010127,2020,OH,Original,In Window,Certified,Category1,Toledo School District,1609 N. Summit Street,Toledo,43604,129313,7877301,School District,20923,17053,82.00%,Urban,"$1,391,266.80",Congressional District 9
201012293,2020,OH,Original,In Window,Certified,Category1,Southern Local School District,920 Elm St,Racine,45771,130087,7593692,School District,733,567,77.00%,Rural,"$30,110.40",Congressional District 6
201026601,2020,OH,Original,In Window,Certified,Category1,Firelands Local School Dist,112 N Lake Street,South Amherst,44001,129448,11897303,School District,1774,520,29.00%,Rural,"$22,824.00",Congressional District 4
201003996,2020,OH,Original,In Window,Certified,Category1,Worthington School District,200 East Wilson Bridge Road,Worthington,43085,129120,2994663,School District,10550,2411,23.00%,Urban,"$91,052.22",Congressional District 12
201033304,2020,OH,Original,In Window,Certified,Category1,Warrensville Hts City Sch Dist,4500 Warrensville Center Rd,Cleveland,44128,129501,13344510,School District,2648,2648,100.00%,Urban,"$68,220.00",Congressional District 11
201031034,2020,OH,Original,In Window,Certified,Category1,Wooster City School District,144 N Market St,Wooster,44691,129697,2921484,School District,3405,1427,42.00%,Urban,"$65,333.30",Congressional District 16
201032517,2020,OH,Original,In Window,Certified,Category1,Delaware City Sch Dist,74 W William St,Delaware,43015,129059,4855334,School District,5809,1680,29.00%,Urban,"$44,019.24",Congressional District 12
201031682,2020,OH,Original,In Window,Certified,Category1,West Liberty-Salem School Dist,7208 Us Highway 68 N,West Liberty,43357,129221,12584074,School District,1208,207,17.00%,Rural,"$12,815.52",Congressional District 4
201033243,2020,OH,Original,In Window,Certified,Category1,Bridgeport Exempt Vlg Sch Dist,55781 National Road,Bridgeport,43912,129369,11954666,School District,851,459,54.00%,Urban,"$25,438.94",Congressional District 6
201028801,2020,OH,Original,In Window,Certified,Category1,Lakota Local School District,5572 Princeton Road,Liberty Township,45011,129825,12305439,School District,17638,3135,18.00%,Urban,"$23,294.40",Congressional District 8
201029467,2020,OH,Original,In Window,Certified,Category1,Fairfield Co Educational Ser C,955 Liberty Drive,Lancaster,43130,129138,28061455,School District,20,20,100.00%,Urban,"$17,937.00",Congressional District 15
201025619,2020,OH,Original,In Window,Certified,Category1,Dayton Christian School,9391 Washington Church Rd,Miamisburg,45342,222413,11204765,School District,727,122,17.00%,Urban,"$5,280.00",Congressional District 10
201015640,2020,OH,Original,In Window,Certified,Category1,Celina City School District,585 E Livingston St,Celina,45822,130113,14160071,School District,2473,1004,41.00%,Rural,"$4,620.00",Congressional District 5
201021298,2020,OH,Original,In Window,Certified,Category1,Twinsburg Board Of Education,11136 Ravenna Rd,Twinsburg,44087,129463,6038442,School District,4337,735,17.00%,Urban,"$15,535.49",Congressional District 14
201023531,2020,OH,Original,In Window,Certified,Category1,Great Oaks Career Campuses,100 Great Oaks Dr,Cincinnati,45241,129888,11565280,School District,2743,1138,41.00%,Urban,"$35,611.20",Congressional District 1
201033903,2020,OH,Original,In Window,Certified,Category1,Georgetown School District,1043 Mt Orab Pike,Georgetown,45121,129837,11580271,School District,1159,583,50.00%,Rural,"$21,120.00",Congressional District 2
201033631,2020,OH,Original,In Window,Certified,Category1,Bright Local School District,44 N High St,Mowrystown,45155,129858,3020583,School District,769,430,56.00%,Rural,"$20,064.00",Congressional District 15
201031968,2020,OH,Original,In Window,Certified,Category1,Carey Exempted Vlg School Dist,2016 Blue Devil Drive,Carey,43316,129198,7050628,School District,818,269,33.00%,Rural,"$13,680.00",Congressional District 5
201034304,2020,OH,Original,In Window,Certified,Category1,Old Fort Local School District,7635 North County Rd 51,Tiffin,44883,129764,12506994,School District,644,232,36.00%,Rural,"$24,024.00",Congressional District 4
201027386,2020,OH,Original,In Window,Certified,Category1,Steubenville City Schools,611 N. 4th St,Steubenville,43952,129387,4844296,School District,2649,2628,99.00%,Urban,"$163,131.30",Congressional District 6
201034495,2020,OH,Original,In Window,Certified,Category1,Colonel Crawford Local Schools,2303 State Rt 602,North Robinson,44856,129759,14123624,School District,904,268,30.00%,Rural,"$33,047.50",Congressional District 4
201030027,2020,OH,Original,In Window,Certified,Category1,Crestwood Local School Dist,11256 Bowen Road,Mantua,44255,129546,12157319,School District,2285,594,26.00%,Rural,"$9,212.40",Congressional District 14
201032529,2020,OH,Original,In Window,Certified,Category1,Hudson City School District,2400 Hudson Aurora Rd,Hudson,44236,129540,14252191,School District,4498,204,5.00%,Urban,"$15,936.00",Congressional District 14
201034350,2020,OH,Original,In Window,Certified,Category1,Logan Elm Local School Dist,9579 Tarlton Rd,Circleville,43113,129131,13321187,School District,1891,657,35.00%,Rural,"$51,433.20",Congressional District 15
201034422,2020,OH,Original,In Window,Certified,Category1,Harrison Hills City Sch Dist,100 Huskies Way,Cadiz,43907,129392,11964301,School District,1631,832,51.00%,Rural,"$30,028.80",Congressional District 6
201035312,2020,OH,Original,In Window,Certified,Category1,Evergreen Local School Dist,14544 County Road 6,Metamora,43540,129285,2939874,School District,1307,340,26.00%,Rural,"$16,502.26",Congressional District 5
201012223,2020,OH,Original,In Window,Certified,Category1,Centerville City School Dist,111 Virginia Ave,Centerville,45458,129988,12040176,School District,8398,1235,15.00%,Urban,"$51,096.00",Congressional District 10
201035452,2020,OH,Original,In Window,Certified,Category1,Put In Bay Local School Dist,548 Catabawa Avenue,Put In Bay,43456,129251,7407620,School District,68,0,0.00%,Rural,"$6,084.00",Congressional District 9
201035303,2020,OH,Original,In Window,Certified,Category1,Ada School District,725 W. North Ave.,Ada,45810,130103,2918779,School District,891,284,32.00%,Rural,"$17,172.00",Congressional District 5
201033922,2020,OH,Original,In Window,Certified,Category1,Warren City School District,105 High St Ne,Warren,44481,129629,12930772,School District,4703,4423,94.00%,Urban,"$4,395.60",Congressional District 13
201035671,2020,OH,Original,In Window,Certified,Category1,Southern Hills J V S D,9193 Hamer Rd,Georgetown,45121,129842,12356879,School District,427,178,42.00%,Rural,"$15,481.20",Congressional District 2
201035988,2020,OH,Original,In Window,Certified,Category1,Wolf Creek Local School Dist,Po Box 67,Waterford,45786,130092,12671020,School District,608,156,26.00%,Rural,"$27,036.00",Congressional District 6
201035799,2020,OH,Original,In Window,Certified,Category1,Eaton Community Schools,304 Eaton Lewisburg Road,Eaton,45320,129916,3021680,School District,2077,659,32.00%,Rural,"$30,168.00",Congressional District 8
201035676,2020,OH,Original,In Window,Certified,Category1,Mount Vernon City Sch District,300 Newark Road,Mount Vernon,43050,129090,3020641,School District,3686,1970,53.00%,Rural,"$122,169.41",Congressional District 7
201023587,2020,OH,Original,In Window,Certified,Category1,Kirtland Local School District,9252 Chillicothe Rd,Kirtland,44094,129473,12225710,School District,1143,71,6.00%,Urban,"$11,040.00",Congressional District 14
201035823,2020,OH,Original,In Window,Certified,Category1,Bright Local School District,44 N High St,Mowrystown,45155,129858,3020583,School District,769,430,56.00%,Rural,"$33,561.60",Congressional District 15
201036066,2020,OH,Original,In Window,Certified,Category1,Alliance City School District,200 Glamorgan St.,Alliance,44601,129643,2916948,School District,3051,3051,100.00%,Urban,"$24,372.90",Congressional District 13
201035888,2020,OH,Original,In Window,Certified,Category1,Indian Creek Local Sch Dist,587 Bantam Ridge Road,Wintersville,43953,129388,11806833,School District,1999,1127,56.00%,Urban,"$79,985.60",Congressional District 6
201020913,2020,OH,Original,In Window,Certified,Category1,Northwood Local School District,700 Lemoyne Rd,Northwood,43619,129315,2915916,School District,888,467,53.00%,Urban,"$23,280.00",Congressional District 5
201034285,2020,OH,Original,In Window,Certified,Category1,Warren City School District,105 High St Ne,Warren,44481,129629,12930772,School District,4703,4423,94.00%,Urban,"$131,586.23",Congressional District 13
201029428,2020,OH,Original,In Window,Certified,Category1,Warren City School District,105 High St Ne,Warren,44481,129629,12930772,School District,4703,4423,94.00%,Urban,"$42,232.10",Congressional District 13
201034364,2020,OH,Original,In Window,Certified,Category1,Cardington-Lincoln Local Dist,121 Nichols St,Cardington,43315,129197,9593468,School District,1057,421,40.00%,Rural,"$9,920.40",Congressional District 12
201046171,2020,OH,Original,In Window,Certified,Category1,Johnstown-Monroe Loc Sch Dist,441 S Main St,Johnstown,43031,129077,2995876,School District,1671,342,20.00%,Rural,"$38,995.20",Congressional District 12
201022963,2020,OH,Original,In Window,Certified,Category1,Wapakoneta City Sch District,1102 Gardenia Drive,Wapakoneta,45895,130174,2915072,School District,3227,1322,41.00%,Rural,"$30,660.00",Congressional District 4
201027508,2020,OH,Original,In Window,Certified,Category1,Grand Valley Local School District,"111 Grand Valley Avenue West, Ste A",Orwell,44076,129451,14138044,School District,1081,535,49.00%,Rural,"$20,462.40",Congressional District 14
201017240,2020,OH,Original,In Window,Certified,Category1,Coshocton City School District,1207 Cambridge Rd,Coshocton,43812,129357,13289327,School District,1521,1196,79.00%,Rural,"$57,672.00",Congressional District 7
201037802,2020,OH,Original,In Window,Certified,Category1,Chagrin Falls Exempted Vlg Sch,77 E Washington St,Chagrin Falls,44022,129408,13308960,School District,1910,75,4.00%,Urban,"$10,869.26",Congressional District 14
201037836,2020,OH,Original,In Window,Certified,Category1,East Muskingum School District,13505 John Glenn School Rd,New Concord,43762,129343,11752391,School District,2251,667,30.00%,Rural,"$43,156.80",Congressional District 6
201038616,2020,OH,Original,In Window,Certified,Category1,United Local School District,8143 State Route 9,Hanoverton,44423,129594,12037057,School District,1122,400,36.00%,Rural,"$30,550.30",Congressional District 6
201038747,2020,OH,Original,In Window,Certified,Category1,Upper Sandusky School District,"800 North Sandusky Avenue, Suite A",Upper Sandusky,43351,129219,12164984,School District,1604,547,34.00%,Rural,"$22,680.00",Congressional District 5
201033048,2020,OH,Original,In Window,Certified,Category1,Marlington Local School Dist,10320 Moulin Ave Ne,Alliance,44601,129644,13916655,School District,2253,1102,49.00%,Rural,"$29,195.54",Congressional District 13
201038109,2020,OH,Original,In Window,Certified,Category1,Hillsdale Local School Dist,485 Township Road 1902,Jeromesville,44840,129746,11796836,School District,827,282,34.00%,Rural,"$42,621.26",Congressional District 7
201033878,2020,OH,Original,In Window,Certified,Category1,East Central Ohio Esc,834 East High Avenue,New Philadelphia,44663,129682,11949484,School District,124,114,92.00%,Rural,"$67,057.20",Congressional District 7
201038890,2020,OH,Original,In Window,Certified,Category1,Danbury Local School District,9451 E Harbor Rd,Lakeside,43440,129242,13338124,School District,471,135,29.00%,Rural,"$17,672.11",Congressional District 9
201038360,2020,OH,Original,In Window,Certified,Category1,Lebanon City School District,700 Holbrook Avenue,Lebanon,45036,129811,13990874,School District,5717,1193,21.00%,Urban,"$39,624.00",Congressional District 1
201038352,2020,OH,Original,In Window,Certified,Category1,Heath City School District,107 Lancaster Dr,Heath,43056,129100,10546000,School District,1714,726,42.00%,Urban,"$44,920.80",Congressional District 12
201024312,2020,OH,Original,In Window,Certified,Category1,Barberton City School District,479 Norton Ave,Barberton,44203,129522,6351373,School District,3722,2508,67.00%,Urban,"$40,872.00",Congressional District 13
201038494,2020,OH,Original,In Window,Certified,Category1,Crestview Local School Dist,1575 State Route 96,Ashland,44805,129717,11566759,School District,1075,543,51.00%,Rural,"$45,153.60",Congressional District 7
201038560,2020,OH,Original,In Window,Certified,Category1,Summit Academy,2791 Mogadore Rd,Akron,44312,228168,18356956,School District,2425,2381,98.00%,Urban,"$42,552.00",Congressional District 13
201036867,2020,OH,Original,In Window,Certified,Category1,Sidney City School District,750 S. Fourth Avenue,Sidney,45365,129946,9304296,School District,3906,2112,54.00%,Rural,"$12,404.74",Congressional District 4
201038484,2020,OH,Original,In Window,Certified,Category1,Summit Academy,2791 Mogadore Rd,Akron,44312,228168,18356956,School District,2425,2381,98.00%,Urban,"$15,300.00",Congressional District 13
201037849,2020,OH,Original,In Window,Certified,Category1,Indian Valley School District,100 N Walnut St,Gnadenhutten,44629,129657,2939551,School District,1735,663,38.00%,Urban,"$62,964.00",Congressional District 6
201036490,2020,OH,Original,In Window,Certified,Category1,Madison Local Schools,1379 Grace St,Mansfield,44905,129789,11560125,School District,3177,1812,57.00%,Urban,"$123,220.80",Congressional District 7
201009011,2020,OH,Original,In Window,Certified,Category1,Crooksville Ex Vlg Sch Dist,4065 School Drive,Crooksville,43731,129338,2996197,School District,1229,891,72.00%,Rural,"$36,798.53",Congressional District 15
201038272,2020,OH,Original,In Window,Certified,Category1,Monroe Local School District,500 Yankee Road,Monroe,45050,227781,13716659,School District,2877,760,26.00%,Urban,"$16,968.00",Congressional District 8
201020567,2020,OH,Original,In Window,Certified,Category1,Ashland Co-West Holmes J V S D,1783 State Route 60,Ashland,44805,129718,11664166,School District,357,140,39.00%,Rural,"$16,980.60",Congressional District 7
201031821,2020,OH,Original,In Window,Certified,Category1,Buckeye Career Center,545 University Drive,New Phila,44663,223931,11730215,School District,978,262,27.00%,Rural,"$25,560.00",Congressional District 7
201031921,2020,OH,Original,In Window,Certified,Category1,Northwest Local School Dist,2309 Locust Street South,Canal Fulton,44614,129648,2921054,School District,1860,568,31.00%,Rural,"$28,382.40",Congressional District 16
201038056,2020,OH,Original,In Window,Certified,Category1,Cedar Cliff Local School Dist,248 N Main,Cedarville,45314,129910,15448301,School District,615,111,18.00%,Rural,"$8,922.00",Congressional District 10
201018026,2020,OH,Original,In Window,Certified,Category1,Cleveland Hts-Univ Hts Dist,2155 Miramar Blvd.,University Heights,44118,129486,2915429,School District,5181,5100,98.00%,Urban,"$112,769.06",Congressional District 11
201034993,2020,OH,Original,In Window,Certified,Category1,Centerburg Local School Dist,119 South Preston Street,Centerburg,43011,129057,13617972,School District,1146,219,19.00%,Rural,"$13,386.00",Congressional District 7
201033558,2020,OH,Original,In Window,Certified,Category1,Brunswick City School District,3643 Center Rd,Brunswick,44212,129526,2915841,School District,8467,1949,23.00%,Urban,"$47,425.86",Congressional District 16
201039992,2020,OH,Original,In Window,Certified,Category1,Ridgedale Local School Dist,3105 Hillman Ford Rd,Morral,43337,129207,12137725,School District,670,317,47.00%,Rural,"$5,320.00",Congressional District 4
201030241,2020,OH,Original,In Window,Certified,Category1,Stem Me2 Academy Inc,7300 N. Palmyra Rd.,Canfield,44406,16082007,24432130,School District,204,111,54.00%,Rural,"$5,575.20",Congressional District 6
201037753,2020,OH,Original,In Window,Certified,Category1,Garfield Heights City Sch Dist,5640 Briarcliff Dr,Garfield Heights,44125,129499,11848934,School District,3606,2898,80.00%,Urban,"$33,300.00",Congressional District 11
201036837,2020,OH,Original,In Window,Certified,Category1,Lakota Local School District,5572 Princeton Road,Liberty Township,45011,129825,12305439,School District,17638,3135,18.00%,Urban,"$24,557.50",Congressional District 8
201027574,2020,OH,Original,In Window,Certified,Category1,Richmond Heights School Dist,447 Richmond Rd,Richmond Heights,44143,129514,12244729,School District,1133,830,73.00%,Urban,"$31,872.00",Congressional District 11
201040023,2020,OH,Original,In Window,Certified,Category1,Switzerland Local School Dist,304 Mill St,Woodsfield,43793,129353,12061404,School District,2137,919,43.00%,Rural,"$93,928.80",Congressional District 6
201040144,2020,OH,Original,In Window,Certified,Category1,South Euclid-Lyndhurst Dist,5044 Mayfield Rd,Cleveland,44124,129495,12071262,School District,3479,1922,55.00%,Urban,"$25,157.28",Congressional District 14
201041041,2020,OH,Original,In Window,Certified,Category1,Trotwood-Madison City Sch Dist,3594 N Snyder Rd,Trotwood,45426,129982,11766748,School District,2600,2515,97.00%,Urban,"$24,300.00",Congressional District 10
201012735,2020,OH,Original,In Window,Certified,Category1,Union Local School District,66859 Belmont Morristown Rd,Belmont,43718,129328,11966231,School District,1374,493,36.00%,Rural,"$32,650.80",Congressional District 6
201039427,2020,OH,Original,In Window,Certified,Category1,Riverside Local School District,585 Riverside Dr,Painesville,44077,129455,13404306,School District,4762,1188,25.00%,Urban,"$41,100.00",Congressional District 14
201037735,2020,OH,Original,In Window,Certified,Category1,Highland Local School District,3880 Ridge Rd,Medina,44256,129551,12161071,School District,3342,267,8.00%,Rural,"$16,481.88",Congressional District 16
201039833,2020,OH,Original,In Window,Certified,Category1,Woodmore Local School District,349 Rice Street,Elmore,43416,129256,11912870,School District,1089,273,25.00%,Rural,"$27,936.00",Congressional District 5
201039443,2020,OH,Original,In Window,Certified,Category1,Ripley Union Lewis Huntington Local School District,502 South 2nd Street,Ripley,45167,129861,11981412,School District,794,503,63.00%,Rural,"$17,348.64",Congressional District 2
201039962,2020,OH,Original,In Window,Certified,Category1,Fairland Local School District,228 Private Drive 10010,Proctorville,45669,130052,14210595,School District,1309,521,40.00%,Urban,"$22,996.80",Congressional District 6
201015648,2020,OH,Original,In Window,Certified,Category1,Celina City School District,585 E Livingston St,Celina,45822,130113,14160071,School District,2473,1004,41.00%,Rural,"$31,374.00",Congressional District 5
201039498,2020,OH,Original,In Window,Certified,Category1,Ripley Union Lewis Huntington Local School District,502 South 2nd Street,Ripley,45167,129861,11981412,School District,794,503,63.00%,Rural,"$6,000.00",Congressional District 2
201033706,2020,OH,Original,In Window,Certified,Category1,Greenfield Exempt Vlg Sch Dist,200 N 5th St,Greenfield,45123,129844,9937152,School District,1902,1178,62.00%,Rural,"$57,224.00",Congressional District 2
201039708,2020,OH,Original,In Window,Certified,Category1,Lorain County J V S D,15181 State Route 58,Oberlin,44074,129449,12928925,School District,1049,411,39.00%,Rural,"$19,043.72",Congressional District 4
201041493,2020,OH,Original,In Window,Certified,Category1,Oberlin City School District,153 N Main St,Oberlin,44074,129446,2991990,School District,1461,659,45.00%,Rural,"$11,900.00",Congressional District 4
201042970,2020,OH,Original,In Window,Certified,Category1,Bowling Green City School Dist,137 Clough Street,Bowling Green,43402,129226,6070825,School District,2949,811,28.00%,Urban,"$37,710.00",Congressional District 5
201042099,2020,OH,Original,In Window,Certified,Category1,James Garfield Local Sch Dist,10235 Sr 88,Garrettsville,44231,129537,2921211,School District,1278,377,29.00%,Rural,"$6,291.00",Congressional District 13
201043009,2020,OH,Original,In Window,Certified,Category1,Woodridge Local School District,4411 Quick Road,Peninsula,44264,174732,8101685,School District,1943,708,36.00%,Rural,"$8,687.34",Congressional District 14
201031901,2020,OH,Original,In Window,Certified,Category1,Tuscarawas Valley School Dist,2637 Tuscarawas Valley Rd,Zoarville,44656,129675,2920908,School District,1300,546,42.00%,Rural,"$46,841.26",Congressional District 7
201015829,2020,OH,Original,In Window,Certified,Category1,Milford Exempted Village School District,777 Garfield Ave,Milford,45150,129854,11827136,School District,6056,1565,26.00%,Urban,"$53,951.90",Congressional District 2
201039495,2020,OH,Original,In Window,Certified,Category1,Esc Of The Western Reserve,8221 Auburn Rd,Painesville,44077,17024613,29247574,School District,252,62,25.00%,Urban,"$10,409.88",Congressional District 14
201041801,2020,OH,Original,In Window,Certified,Category1,Woodridge Local School District,4411 Quick Road,Peninsula,44264,174732,8101685,School District,1943,708,36.00%,Rural,"$27,888.00",Congressional District 14
201036528,2020,OH,Original,In Window,Certified,Category1,East Holmes School District,6108 County Route 77,Millersburg,44654,129647,11577731,School District,1631,323,20.00%,Rural,"$81,056.95",Congressional District 7
201042531,2020,OH,Original,In Window,Certified,Category1,Northwestern Local School Dist,7571 N Elyria Rd,West Salem,44287,129570,9579244,School District,1335,550,41.00%,Rural,"$26,086.45",Congressional District 16
201025123,2020,OH,Original,In Window,Certified,Category1,Oberlin City School District,153 N Main St,Oberlin,44074,129446,2991990,School District,1461,659,45.00%,Rural,"$13,332.56",Congressional District 4
201021203,2020,OH,Original,In Window,Certified,Category1,Garfield Heights City Sch Dist,5640 Briarcliff Dr,Garfield Heights,44125,129499,11848934,School District,3606,2898,80.00%,Urban,"$10,800.00",Congressional District 11
201041127,2020,OH,Original,In Window,Certified,Category1,Mid-Ohio Education Svc Cen,890 West 4th Street,Mansfield,44906,129791,11555026,School District,153,153,100.00%,Urban,"$24,537.60",Congressional District 12
201043738,2020,OH,Original,In Window,Certified,Category1,Switzerland Local School Dist,304 Mill St,Woodsfield,43793,129353,12061404,School District,2137,919,43.00%,Rural,"$42,000.00",Congressional District 6
201031852,2020,OH,Original,In Window,Certified,Category1,Bellaire Local Schools,340 34th St,Bellaire,43906,129364,2916369,School District,1211,637,53.00%,Rural,"$43,280.83",Congressional District 6
201032442,2020,OH,Original,In Window,Certified,Category1,Winton Woods City Sch District,825 Waycross Rd - Suite A,Cincinnati,45240,129887,2993525,School District,3933,2831,72.00%,Urban,"$124,931.20",Congressional District 1
201007752,2020,OH,Original,In Window,Certified,Category1,Esc Of Central Ohio,2080 Citygate Drive,Columbus,43219,16049757,18640938,School District,42,19,45.00%,Rural,"$36,388.80",Congressional District 3
201039679,2020,OH,Original,In Window,Certified,Category1,North Central Ohio Ed Ser Cent,928 W Market St,Tiffin,44883,129779,18277707,School District,303,143,47.00%,Rural,"$37,888.20",Congressional District 4
201043481,2020,OH,Original,In Window,Certified,Category1,Switzerland Local School Dist,304 Mill St,Woodsfield,43793,129353,12061404,School District,2137,919,43.00%,Rural,"$85,360.97",Congressional District 6
201042334,2020,OH,Original,In Window,Certified,Category1,Elida Local School District,4380 Sunnydale,Elida,45807,130102,13638614,School District,2433,1113,46.00%,Urban,"$118,800.00",Congressional District 4
201042952,2020,OH,Original,In Window,Certified,Category1,Ross County Christian Academy,2215 Egypt Pike,Chillicothe,45601,17025175,27896117,School District,326,219,67.00%,Urban,"$4,848.00",Congressional District 15
201042648,2020,OH,Original,In Window,Certified,Category1,Wyandot Co Board Of M R & D D,11028 County Highway 44,Upper Sandusky,43351,129220,28254985,School District,40,17,43.00%,Rural,"$4,038.55",Congressional District 5
201031837,2020,OH,Original,In Window,Certified,Category1,Belmont-Harrison Voc Sch Dist,110 Fox Shannon Pl,St Clairsville,43950,129380,6236640,School District,486,267,55.00%,Urban,"$25,948.13",Congressional District 6
201042347,2020,OH,Original,In Window,Certified,Category1,Galion City School District,470 Portland Way North,Galion,44833,129740,4843470,School District,1984,1123,57.00%,Rural,"$65,136.00",Congressional District 4
201043222,2020,OH,Original,In Window,Certified,Category1,Copley-Fairlawn City School District,3797 Ridgewood Road,Copley,44321,129576,5029434,School District,2980,543,18.00%,Urban,"$26,318.40",Congressional District 16
201034814,2020,OH,Original,In Window,Certified,Category1,Boardman Local School District,7777 Glenwood Ave.,Youngstown,44512,129637,2916245,School District,4549,1952,43.00%,Urban,"$95,658.26",Congressional District 13
201031910,2020,OH,Original,In Window,Certified,Category1,Dover City School District,219 W 6th St,Dover,44622,129655,4164992,School District,2779,820,30.00%,Urban,"$17,500.38",Congressional District 7
201043541,2020,OH,Original,In Window,Certified,Category1,Richmond Heights School Dist,447 Richmond Rd,Richmond Heights,44143,129514,12244729,School District,1133,830,73.00%,Urban,"$95,952.00",Congressional District 11
201038870,2020,OH,Original,In Window,Certified,Category1,Rocky River City School Dist,1101 Morewood Parkway,Rocky River,44116,129485,2922938,School District,2746,162,6.00%,Urban,"$10,000.03",Congressional District 9
201021755,2020,OH,Original,In Window,Certified,Category1,Sandy Valley School District,5362 State Route 183 Ne,Magnolia,44643,129663,2921294,School District,1497,623,42.00%,Rural,"$8,131.19",Congressional District 7
201036460,2020,OH,Original,In Window,Certified,Category1,Fairfield Local School,11611 State Route 771,Leesburg,45135,129849,3022605,School District,904,319,35.00%,Rural,"$12,490.80",Congressional District 2
201040967,2020,OH,Original,In Window,Certified,Category1,Bloom-Carroll Local Sch Dist,69 S. Beaver Street,Carroll,43112,129125,2994143,School District,1976,388,20.00%,Rural,"$31,334.40",Congressional District 15
201041903,2020,OH,Original,In Window,Certified,Category1,Medina County J V S D,1101 W Liberty St,Medina,44256,129547,11589348,School District,799,135,17.00%,Rural,"$19,920.00",Congressional District 16
201031857,2020,OH,Original,In Window,Certified,Category1,Barnesville School District,210 W Church St,Barnesville,43713,129326,13215322,School District,1342,413,31.00%,Rural,"$14,250.67",Congressional District 6
201009015,2020,OH,Original,In Window,Certified,Category1,Deer Park Community City School District,4131 Matson Ave.,Cincinnati,45236,129885,2993616,School District,1248,482,39.00%,Urban,"$18,485.21",Congressional District 2
201046985,2020,OH,Original,In Window,Certified,Category1,Oberlin City School District,153 N Main St,Oberlin,44074,129446,2991990,School District,1461,659,45.00%,Rural,"$18,969.08",Congressional District 4
201046884,2020,OH,Original,In Window,Certified,Category1,Kettering City School District,3750 Far Hills Ave,Kettering,45429,129983,11922234,School District,7827,2779,36.00%,Urban,"$8,400.00",Congressional District 10
201034310,2020,OH,Original,In Window,Certified,Category1,Stryker Local School District,400 S Defiance St,Stryker,43557,129298,2915528,School District,406,142,35.00%,Rural,"$16,273.99",Congressional District 5
201029364,2020,OH,Original,In Window,Certified,Category1,Fort Recovery Local Sch Dist,400 East Butler Street,Fort Recovery,45846,130132,2917607,School District,899,91,10.00%,Rural,"$9,600.00",Congressional District 8
201012292,2020,OH,Original,In Window,Certified,Category1,Reading Community School Dist,1301 Bonnell Street,Reading,45215,129877,11818655,School District,1614,757,47.00%,Urban,"$15,631.20",Congressional District 2
201007158,2020,OH,Original,In Window,Certified,Category1,Vanlue Local School District,301 S East St,Vanlue,45890,130167,2915254,School District,315,105,33.00%,Rural,"$10,440.00",Congressional District 4
201018488,2020,OH,Original,In Window,Certified,Category1,Educational Service Center Of Northest Ohio,"Essex Place, 6393 Oak Tree Blvd",Independence,44131,129498,11938396,School District,540,476,88.00%,Urban,"$126,903.56",Congressional District 14
201044079,2020,OH,Original,In Window,Certified,Category1,West Clermont Local Sch Dist,4350 Aicholtz Road Suite 220,Cincinnati,45245,129893,2991529,School District,8360,2672,32.00%,Urban,"$36,169.98",Congressional District 2
